municipio,uf,codigo_ibge,lat,lon
ACRELANDIA,AC,1200013,-9.82581,-66.8972
ASSIS BRASIL,AC,1200054,-10.9298,-69.5738
BRASILEIA,AC,1200104,-10.995,-68.7497
BUJARI,AC,1200138,-9.81528,-67.955
CAPIXABA,AC,1200179,-10.566,-67.686
CRUZEIRO DO SUL,AC,1200203,-7.62762,-72.6756
EPITACIOLANDIA,AC,1200252,-11.0188,-68.7341
FEIJO,AC,1200302,-8.17054,-70.351
JORDAO,AC,1200328,-9.1908,-71.9503
MANCIO LIMA,AC,1200336,-7.61657,-72.8997
MANOEL URBANO,AC,1200344,-8.83291,-69.2679
MARECHAL THAUMATURGO,AC,1200351,-8.93898,-72.7997
PLACIDO DE CASTRO,AC,1200385,-10.2806,-67.1371
PORTO ACRE,AC,1200807,-9.58138,-67.5478
PORTO WALTER,AC,1200393,-8.26323,-72.7537
RIO BRANCO,AC,1200401,-9.97499,-67.8243
RODRIGUES ALVES,AC,1200427,-7.73864,-72.661
SANTA ROSA DO PURUS,AC,1200435,-9.44652,-70.4902
SENA MADUREIRA,AC,1200500,-9.06596,-68.6571
SENADOR GUIOMARD,AC,1200450,-10.1497,-67.7362
TARAUACA,AC,1200609,-8.15697,-70.7722
XAPURI,AC,1200708,-10.6516,-68.4969
AGUA BRANCA,AL,2700102,-9.262,-37.938
ANADIA,AL,2700201,-9.68489,-36.3078
ARAPIRACA,AL,2700300,-9.75487,-36.6615
ATALAIA,AL,2700409,-9.5119,-36.0086
BARRA DE SANTO ANTONIO,AL,2700508,-9.4023,-35.5101
BARRA DE SAO MIGUEL,AL,2700607,-9.83842,-35.9057
BATALHA,AL,2700706,-9.6742,-37.133
BELEM,AL,2700805,-9.57047,-36.4904
BELO MONTE,AL,2700904,-9.82272,-37.277
BOCA DA MATA,AL,2701001,-9.64308,-36.2125
BRANQUINHA,AL,2701100,-9.23342,-36.0162
CACIMBINHAS,AL,2701209,-9.40121,-36.9911
CAJUEIRO,AL,2701308,-9.3994,-36.1559
CAMPESTRE,AL,2701357,-8.84723,-35.5685
CAMPO ALEGRE,AL,2701407,-9.78451,-36.3525
CAMPO GRANDE,AL,2701506,-9.95542,-36.7926
CANAPI,AL,2701605,-9.11932,-37.5967
CAPELA,AL,2701704,-9.41504,-36.0826
CARNEIROS,AL,2701803,-9.48476,-37.3773
CHA PRETA,AL,2701902,-9.2556,-36.2983
COITE DO NOIA,AL,2702009,-9.63348,-36.5845
COLONIA LEOPOLDINA,AL,2702108,-8.91806,-35.7214
COQUEIRO SECO,AL,2702207,-9.63715,-35.7994
CORURIPE,AL,2702306,-10.1276,-36.1717
CRAIBAS,AL,2702355,-9.6178,-36.7697
DELMIRO GOUVEIA,AL,2702405,-9.38534,-37.9987
DOIS RIACHOS,AL,2702504,-9.38465,-37.0965
ESTRELA DE ALAGOAS,AL,2702553,-9.39089,-36.7644
FEIRA GRANDE,AL,2702603,-9.89859,-36.6815
FELIZ DESERTO,AL,2702702,-10.2935,-36.3028
FLEXEIRAS,AL,2702801,-9.27281,-35.7139
GIRAU DO PONCIANO,AL,2702900,-9.88404,-36.8316
IBATEGUARA,AL,2703007,-8.97823,-35.9373
IGACI,AL,2703106,-9.53768,-36.6372
IGREJA NOVA,AL,2703205,-10.1235,-36.6597
INHAPI,AL,2703304,-9.22594,-37.7509
JACARE DOS HOMENS,AL,2703403,-9.63545,-37.2076
JACUIPE,AL,2703502,-8.83951,-35.4591
JAPARATINGA,AL,2703601,-9.08746,-35.2634
JARAMATAIA,AL,2703700,-9.66224,-37.0046
JEQUIA DA PRAIA,AL,2703759,-10.0133,-36.0142
JOAQUIM GOMES,AL,2703809,-9.1328,-35.7474
JUNDIA,AL,2703908,-8.93297,-35.5669
JUNQUEIRO,AL,2704005,-9.90696,-36.4803
LAGOA DA CANOA,AL,2704104,-9.83291,-36.7413
LIMOEIRO DE ANADIA,AL,2704203,-9.74098,-36.5121
MACEIO,AL,2704302,-9.66599,-35.735
MAJOR ISIDORO,AL,2704401,-9.53009,-36.992
MAR VERMELHO,AL,2704906,-9.44739,-36.3881
MARAGOGI,AL,2704500,-9.00744,-35.2267
MARAVILHA,AL,2704609,-9.23045,-37.3524
MARECHAL DEODORO,AL,2704708,-9.70971,-35.8967
MARIBONDO,AL,2704807,-9.58353,-36.3045
MATA GRANDE,AL,2705002,-9.11824,-37.7323
MATRIZ DE CAMARAGIBE,AL,2705101,-9.15437,-35.5243
MESSIAS,AL,2705200,-9.39384,-35.8392
MINADOR DO NEGRAO,AL,2705309,-9.31236,-36.8696
MONTEIROPOLIS,AL,2705408,-9.60357,-37.2505
MURICI,AL,2705507,-9.30682,-35.9428
NOVO LINO,AL,2705606,-8.94191,-35.664
OLHO D`AGUA DAS FLORES,AL,2705705,-9.53686,-37.2971
OLHO D`AGUA DO CASADO,AL,2705804,-9.50357,-37.8301
OLHO D`AGUA GRANDE,AL,2705903,-10.0572,-36.8101
OLIVENCA,AL,2706000,-9.51954,-37.1954
OURO BRANCO,AL,2706109,-9.15884,-37.3556
PALESTINA,AL,2706208,-9.67493,-37.339
PALMEIRA DOS INDIOS,AL,2706307,-9.40568,-36.6328
PAO DE ACUCAR,AL,2706406,-9.74032,-37.4403
PARICONHA,AL,2706422,-9.25634,-37.9988
PARIPUEIRA,AL,2706448,-9.46313,-35.552
PASSO DE CAMARAGIBE,AL,2706505,-9.24511,-35.4745
PAULO JACINTO,AL,2706604,-9.36792,-36.3672
PENEDO,AL,2706703,-10.2874,-36.5819
PIACABUCU,AL,2706802,-10.406,-36.434
PILAR,AL,2706901,-9.60135,-35.9543
